Soal1,Soal2,Soal3,Soal4,Soal5,Soal6,Soal7,Soal8,Soal9,Soal10,Hasil
"disosiasi","pasif","sederhana","pelari:lintasan","pemburu : senapan","komputer : disker","sebagian pegawai negeri bersepatu","Semua dokter adalah penggemar lukisan","Jika tidak berduri, bunga mawar tidak disukai perempuan","3, 625","Bukan Bakat Skolastik"
"makar","kreatif","berbelit-belit","pelari:lintasan","nelayan : ikan","waktu : alroji","sebagian pegawai negeri bersepatu","Penggemar lukisan pasti dokter kandungan","Tidak ada bunga mawar yang disukai perempuan yang tidak berduri","7, 343","Bukan Bakat Skolastik"
"membangkang","pasif","ruwet","pelari:makanan","pemburu : senapan","dompet : uang","sebagian pegawai negeri berseragam dan berdasi","Beberapa dokter kandungan yang dapat membuat resep adalah penggemar lukisan","Tidak ada bunga mawar yang disukai perempuan yang tidak berduri","3, 625","Bakat Skolastik"
"kritis","pasif","sederhana","pelari:lintasan","Penyanyi : kaser","dompet : uang","sebagian pegawai negeri berseragam dan berdasi","Beberapa dokter kandungan yang dapat membuat resep adalah penggemar lukisan","Tidak dapat ditarik kesimpulan","3, 625","Bakat Skolastik"
"membangkang","pasif","sederhana","pelari:sepatu","pemburu : senapan","rokok : asbak","sebagian pegawai negeri berseragam dan berdasi","Beberapa dokter kandungan yang dapat membuat resep adalah penggemar lukisan","Tidak dapat ditarik kesimpulan","3, 625","Bakat Skolastik"
"kritis","pasif","berbelit-belit","pelari:lintasan","Guru : murid","komputer : disker","sebagian pegawai negeri berseragam dan berdasi","Semua dokter adalah penggemar lukisan","Semua perempuan takut duri","3, 625","Bukan Bakat Skolastik"
"makar","statis","sederhana","pelari:makanan","pemburu : senapan","dompet : uang","sebagian pegawai negeri berseragam tapi tidak bersepatu","Semua dokter adalah dokter kandungan","Semua perempuan takut duri","3, 625","Bakat Skolastik"
"makar","statis","berbelit-belit","pelari:makanan","nelayan : ikan","dompet : uang","sebagian pegawai negeri berseragam dan berdasi","Semua dokter adalah dokter kandungan","Tidak ada bunga mawar yang disukai perempuan yang tidak berduri","5, 243","Bukan Bakat Skolastik"
"makar","pasif","berbelit-belit","pelari:lintasan","pemburu : senapan","dompet : uang","sebagian pegawai negeri berseragam dan berdasi","Beberapa dokter kandungan yang dapat membuat resep adalah penggemar lukisan","Tidak ada bunga mawar yang disukai perempuan yang tidak berduri","5, 243","Bakat Skolastik"
"membangkang","dinamis","berbelit-belit","pelari:lintasan","Penyanyi : kaser","dompet : uang","sebagian pegawai negeri berseragam dan berdasi","Beberapa dokter kandungan yang dapat membuat resep adalah penggemar lukisan","Tidak ada bunga mawar yang disukai perempuan yang tidak berduri","7, 343","Bukan Bakat Skolastik"
"disosiasi","kreatif","sederhana","pelari:makanan","pemburu : senapan","dompet : uang","sebagian pegawai negeri berseragam dan berdasi","Beberapa dokter kandungan yang dapat membuat resep adalah penggemar lukisan","Tidak ada bunga mawar yang disukai perempuan yang tidak berduri","1, 325","Bakat Skolastik"
"makar","kreatif","kompleks","pelari:lintasan","nelayan : ikan","dompet : uang","sebagian pegawai negeri berseragam dan berdasi","Beberapa dokter kandungan yang dapat membuat resep adalah penggemar lukisan","Jika tidak berduri, bunga mawar tidak disukai perempuan","5, 243","Bukan Bakat Skolastik"
"makar","pasif","ruwet","pelari:sepatu","pemburu : senapan","dompet : uang","sebagian pegawai negeri berseragam dan berdasi","Beberapa dokter kandungan yang dapat membuat resep adalah penggemar lukisan","Tidak ada bunga mawar yang disukai perempuan yang tidak berduri","3, 625","Bakat Skolastik"
"disosiasi","dinamis","berbelit-belit","pelari:lintasan","pemburu : senapan","komputer : disker","sebagian pegawai negeri berseragam dan berdasi","Beberapa dokter kandungan yang dapat membuat resep adalah penggemar lukisan","Tidak dapat ditarik kesimpulan","3, 625","Bukan Bakat Skolastik"
"kritis","pasif","ruwet","pelari:lintasan","pemburu : senapan","komputer : disker","sebagian pegawai negeri berseragam tapi tidak bersepatu","Beberapa dokter kandungan yang dapat membuat resep adalah penggemar lukisan","Semua perempuan takut duri","3, 625","Bukan Bakat Skolastik"
"membangkang","pasif","sederhana","pelari:sepatu","pemburu : senapan","waktu : alroji","sebagian pegawai negeri berseragam dan berdasi","Beberapa dokter kandungan yang dapat membuat resep adalah penggemar lukisan","Tidak ada bunga mawar yang disukai perempuan yang tidak berduri","3, 625","Bakat Skolastik"
"makar","pasif","ruwet","pelari:lintasan","nelayan : ikan","dompet : uang","sebagian pegawai negeri bersepatu","Penggemar lukisan pasti dokter kandungan","Tidak ada bunga mawar yang disukai perempuan yang tidak berduri","5, 243","Bukan Bakat Skolastik"
"makar","pasif","sederhana","pelari:makanan","pemburu : senapan","dompet : uang","sebagian pegawai negeri bersepatu","Semua dokter adalah penggemar lukisan","Tidak dapat ditarik kesimpulan","5, 243","Bakat Skolastik"
"makar","statis","sederhana","pelari:makanan","nelayan : ikan","rokok : asbak","sebagian pegawai negeri berseragam dan berdasi","Penggemar lukisan pasti dokter kandungan","Semua perempuan takut duri","7, 343","Bukan Bakat Skolastik"
"makar","statis","sederhana","pelari:makanan","pemburu : senapan","komputer : disker","sebagian pegawai negeri berseragam dan berdasi","Beberapa dokter kandungan yang dapat membuat resep adalah penggemar lukisan","Jika tidak berduri, bunga mawar tidak disukai perempuan","1, 325","Bakat Skolastik"
"disosiasi","pasif","sederhana","pelari:makanan","pemburu : senapan","waktu : alroji","sebagian pegawai negeri berseragam dan berdasi","Beberapa dokter kandungan yang dapat membuat resep adalah penggemar lukisan","Semua perempuan takut duri","5, 243","Bakat Skolastik"
"makar","dinamis","sederhana","pelari:makanan","pemburu : senapan","komputer : disker","sebagian pegawai negeri berseragam dan berdasi","Beberapa dokter kandungan yang dapat membuat resep adalah penggemar lukisan","Tidak dapat ditarik kesimpulan","3, 625","Bakat Skolastik"
"disosiasi","kreatif","sederhana","pelari:makanan","Guru : murid","komputer : disker","sebagian pegawai negeri berjas","Semua dokter adalah penggemar lukisan","Tidak ada bunga mawar yang disukai perempuan yang tidak berduri","3, 625","Bukan Bakat Skolastik"
"makar","pasif","sederhana","pelari:lintasan","Penyanyi : kaser","dompet : uang","sebagian pegawai negeri bersepatu","Semua dokter adalah dokter kandungan","Tidak ada bunga mawar yang disukai perempuan yang tidak berduri","3, 625","Bakat Skolastik"
"makar","pasif","kompleks","pelari:sepatu","pemburu : senapan","dompet : uang","sebagian pegawai negeri berseragam dan berdasi","Beberapa dokter kandungan yang dapat membuat resep adalah penggemar lukisan","Tidak ada bunga mawar yang disukai perempuan yang tidak berduri","5, 243","Bakat Skolastik"
"membangkang","pasif","sederhana","pelari:lintasan","Guru : murid","dompet : uang","sebagian pegawai negeri bersepatu","Beberapa dokter kandungan yang dapat membuat resep adalah penggemar lukisan","Semua perempuan takut duri","5, 243","Bukan Bakat Skolastik"
"makar","pasif","berbelit-belit","pelari:makanan","pemburu : senapan","dompet : uang","sebagian pegawai negeri berseragam dan berdasi","Semua dokter adalah dokter kandungan","Tidak ada bunga mawar yang disukai perempuan yang tidak berduri","7, 343","Bakat Skolastik"
"makar","pasif","ruwet","pelari:lintasan","Penyanyi : kaser","dompet : uang","sebagian pegawai negeri berseragam dan berdasi","Beberapa dokter kandungan yang dapat membuat resep adalah penggemar lukisan","Tidak ada bunga mawar yang disukai perempuan yang tidak berduri","1, 325","Bakat Skolastik"
"makar","pasif","sederhana","pelari:makanan","pemburu : senapan","dompet : uang","sebagian pegawai negeri bersepatu","Beberapa dokter kandungan yang dapat membuat resep adalah penggemar lukisan","Tidak ada bunga mawar yang disukai perempuan yang tidak berduri","5, 243","Bakat Skolastik"
"makar","statis","sederhana","pelari:makanan","pemburu : senapan","komputer : disker","sebagian pegawai negeri berseragam dan berdasi","Semua dokter adalah penggemar lukisan","Tidak ada bunga mawar yang disukai perempuan yang tidak berduri","3, 625","Bakat Skolastik"
"membangkang","pasif","berbelit-belit","pelari:makanan","pemburu : senapan","waktu : alroji","sebagian pegawai negeri berseragam dan berdasi","Semua dokter adalah penggemar lukisan","Jika tidak berduri, bunga mawar tidak disukai perempuan","3, 625","Bakat Skolastik"
"disosiasi","kreatif","sederhana","pelari:makanan","pemburu : senapan","dompet : uang","sebagian pegawai negeri berseragam dan berdasi","Beberapa dokter kandungan yang dapat membuat resep adalah penggemar lukisan","Tidak ada bunga mawar yang disukai perempuan yang tidak berduri","3, 625","Bakat Skolastik"
"makar","kreatif","sederhana","pelari:makanan","Guru : murid","komputer : disker","sebagian pegawai negeri bersepatu","Semua dokter adalah dokter kandungan","Tidak ada bunga mawar yang disukai perempuan yang tidak berduri","3, 625","Bakat Skolastik"
"kritis","pasif","sederhana","pelari:makanan","pemburu : senapan","dompet : uang","sebagian pegawai negeri berseragam dan berdasi","Semua dokter adalah dokter kandungan","Tidak ada bunga mawar yang disukai perempuan yang tidak berduri","3, 625","Bakat Skolastik"
"disosiasi","dinamis","kompleks","pelari:makanan","pemburu : senapan","dompet : uang","sebagian pegawai negeri berseragam dan berdasi","Beberapa dokter kandungan yang dapat membuat resep adalah penggemar lukisan","Tidak ada bunga mawar yang disukai perempuan yang tidak berduri","3, 625","Bakat Skolastik"
"membangkang","kreatif","sederhana","pelari:sepatu","Penyanyi : kaser","dompet : uang","sebagian pegawai negeri berseragam tapi tidak bersepatu","Beberapa dokter kandungan yang dapat membuat resep adalah penggemar lukisan","Jika tidak berduri, bunga mawar tidak disukai perempuan","3, 625","Bukan Bakat Skolastik"
"disosiasi","pasif","berbelit-belit","pelari:sepatu","pemburu : senapan","dompet : uang","sebagian pegawai negeri berseragam dan berdasi","Beberapa dokter kandungan yang dapat membuat resep adalah penggemar lukisan","Tidak ada bunga mawar yang disukai perempuan yang tidak berduri","3, 625","Bakat Skolastik"
"makar","pasif","ruwet","pelari:makanan","pemburu : senapan","dompet : uang","sebagian pegawai negeri berjas","Beberapa dokter kandungan yang dapat membuat resep adalah penggemar lukisan","Tidak dapat ditarik kesimpulan","5, 243","Bakat Skolastik"
"makar","pasif","sederhana","pelari:makanan","pemburu : senapan","dompet : uang","sebagian pegawai negeri berseragam dan berdasi","Beberapa dokter kandungan yang dapat membuat resep adalah penggemar lukisan","Tidak ada bunga mawar yang disukai perempuan yang tidak berduri","3, 625","Bakat Skolastik"
"makar","pasif","sederhana","pelari:lintasan","pemburu : senapan","komputer : disker","sebagian pegawai negeri berjas","Semua dokter adalah penggemar lukisan","Tidak dapat ditarik kesimpulan","3, 625","Bakat Skolastik"
"makar","pasif","berbelit-belit","pelari:makanan","pemburu : senapan","waktu : alroji","sebagian pegawai negeri berseragam dan berdasi","Semua dokter adalah penggemar lukisan","Semua perempuan takut duri","3, 625","Bakat Skolastik"
"makar","pasif","kompleks","pelari:sepatu","pemburu : senapan","dompet : uang","sebagian pegawai negeri bersepatu","Beberapa dokter kandungan yang dapat membuat resep adalah penggemar lukisan","Tidak ada bunga mawar yang disukai perempuan yang tidak berduri","3, 625","Bakat Skolastik"
"makar","pasif","ruwet","pelari:sepatu","pemburu : senapan","komputer : disker","sebagian pegawai negeri bersepatu","Semua dokter adalah dokter kandungan","Tidak ada bunga mawar yang disukai perempuan yang tidak berduri","5, 243","Bukan Bakat Skolastik"
"makar","pasif","sederhana","Pelari:istirahat","pemburu : senapan","dompet : uang","sebagian pegawai negeri berseragam dan berdasi","Semua dokter adalah dokter kandungan","Tidak dapat ditarik kesimpulan","7, 343","Bakat Skolastik"
"membangkang","dinamis","sederhana","Pelari:istirahat","pemburu : senapan","dompet : uang","sebagian pegawai negeri berseragam dan berdasi","Beberapa dokter kandungan yang dapat membuat resep adalah penggemar lukisan","Semua perempuan takut duri","3, 625","Bakat Skolastik"
"disosiasi","pasif","sederhana","pelari:makanan","nelayan : ikan","rokok : asbak","sebagian pegawai negeri berseragam dan berdasi","Beberapa dokter kandungan yang dapat membuat resep adalah penggemar lukisan","Jika tidak berduri, bunga mawar tidak disukai perempuan","3, 625","Bakat Skolastik"
"makar","pasif","kompleks","pelari:makanan","pemburu : senapan","komputer : disker","sebagian pegawai negeri berseragam dan berdasi","Beberapa dokter kandungan yang dapat membuat resep adalah penggemar lukisan","Tidak ada bunga mawar yang disukai perempuan yang tidak berduri","5, 243","Bakat Skolastik"
"kritis","statis","kompleks","pelari:makanan","nelayan : ikan","dompet : uang","sebagian pegawai negeri berseragam dan berdasi","Beberapa dokter kandungan yang dapat membuat resep adalah penggemar lukisan","Tidak dapat ditarik kesimpulan","5, 243","Bukan Bakat Skolastik"
"disosiasi","statis","sederhana","pelari:makanan","pemburu : senapan","dompet : uang","sebagian pegawai negeri berseragam dan berdasi","Beberapa dokter kandungan yang dapat membuat resep adalah penggemar lukisan","Tidak dapat ditarik kesimpulan","7, 343","Bakat Skolastik"
"makar","pasif","sederhana","pelari:makanan","Penyanyi : kaser","dompet : uang","sebagian pegawai negeri berseragam dan berdasi","Semua dokter adalah dokter kandungan","Tidak ada bunga mawar yang disukai perempuan yang tidak berduri","1, 325","Bakat Skolastik"
"makar","dinamis","sederhana","pelari:makanan","pemburu : senapan","dompet : uang","sebagian pegawai negeri berseragam dan berdasi","Semua dokter adalah dokter kandungan","Tidak ada bunga mawar yang disukai perempuan yang tidak berduri","5, 243","Bakat Skolastik"
"makar","kreatif","sederhana","pelari:lintasan","pemburu : senapan","dompet : uang","sebagian pegawai negeri berseragam tapi tidak bersepatu","Beberapa dokter kandungan yang dapat membuat resep adalah penggemar lukisan","Tidak ada bunga mawar yang disukai perempuan yang tidak berduri","3, 625","Bakat Skolastik"
"makar","pasif","sederhana","pelari:lintasan","pemburu : senapan","dompet : uang","sebagian pegawai negeri berseragam dan berdasi","Penggemar lukisan pasti dokter kandungan","Tidak ada bunga mawar yang disukai perempuan yang tidak berduri","3, 625","Bakat Skolastik"
"makar","pasif","sederhana","Pelari:istirahat","pemburu : senapan","dompet : uang","sebagian pegawai negeri berjas","Penggemar lukisan pasti dokter kandungan","Jika tidak berduri, bunga mawar tidak disukai perempuan","3, 625","Bakat Skolastik"
"makar","pasif","ruwet","Pelari:istirahat","nelayan : ikan","waktu : alroji","sebagian pegawai negeri berseragam dan berdasi","Penggemar lukisan pasti dokter kandungan","Tidak ada bunga mawar yang disukai perempuan yang tidak berduri","7, 343","Bukan Bakat Skolastik"
"disosiasi","pasif","sederhana","pelari:makanan","pemburu : senapan","waktu : alroji","sebagian pegawai negeri berjas","Beberapa dokter kandungan yang dapat membuat resep adalah penggemar lukisan","Tidak ada bunga mawar yang disukai perempuan yang tidak berduri","5, 243","Bakat Skolastik"
"membangkang","pasif","sederhana","pelari:makanan","pemburu : senapan","dompet : uang","sebagian pegawai negeri berseragam dan berdasi","Beberapa dokter kandungan yang dapat membuat resep adalah penggemar lukisan","Jika tidak berduri, bunga mawar tidak disukai perempuan","1, 325","Bakat Skolastik"
