Soal1,Soal2,Soal3,Soal4,Soal5,Soal6,Soal7,Soal8,Soal9,Soal10,Hasil
potongankain,pengikisan,asli,cebol,cacat,pintu:rumah,nelayan:sampan,dasawarsa,kental,Birmingham,Bukan Bakat Verbal
umpatan,pengikisan,amatiran,mungil,cacat,kaki:sepatu,sarjana:toga,listrik,elastis,Turin,Bakat Verbal
umpatan,penyimpangan,palsu,cebol,benar,kaki:sepatu,pegawai:dasi,pancawarsa,luwes,London,Bukan Bakat Verbal
potongankain,pemisahan,palsu,cebol,cacat,kaki:sepatu,pegawai:dasi,listrik,elastis,Birmingham,Bukan Bakat Verbal
umpatan,penyimpangan,asli,raksasa,cacat,kaki:sepatu,sarjana:toga,pancawarsa,luwes,Liverpool,Bakat Verbal
umpatan,penyimpangan,asli,raksasa,cacat,kaki:sepatu,sarjana:toga,pancawarsa,elastis,Birmingham,Bakat Verbal
umpatan,penggerusan,palsu,mungil,benar,kaki:sepatu,pegawai:dasi,listrik,padat,Turin,Bukan Bakat Verbal
umpatan,penggerusan,amatiran,cebol,tepat,tangan:tilang,juara:medali,listrik,luwes,Turin,Bukan Bakat Verbal
umpatan,penyimpangan,asli,raksasa,cacat,pintu:rumah,sarjana:toga,pancawarsa,elastis,Birmingham,Bakat Verbal
potongankain,pengikisan,amatiran,raksasa,cacat,kaki:sepatu,juara:medali,listrik,elastis,Turin,Bakat Verbal
umpatan,pemisahan,amatiran,raksasa,cacat,kaki:sepatu,juara:medali,segilima,elastis,Turin,Bakat Verbal
umpatan,penyimpangan,palsu,raksasa,cacat,kaki:sepatu,pegawai:dasi,pancawarsa,elastis,Liverpool,Bakat Verbal
umpatan,penyimpangan,asli,raksasa,cacat,kaki:sepatu,sarjana:toga,pancawarsa,elastis,Turin,Bakat Verbal
potongankain,pemisahan,asli,mungil,cacat,kaki:sepatu,sarjana:toga,dasawarsa,elastis,London,Bakat Verbal
umpatan,penggerusan,amatiran,cebol,tepat,kaki:sepatu,sarjana:toga,pancawarsa,elastis,Turin,Bakat Verbal
sulaman,pemisahan,palsu,raksasa,cacat,kaki:sepatu,sarjana:toga,dasawarsa,elastis,London,Bakat Verbal
umpatan,penyimpangan,asli,raksasa,cacat,kaki:sepatu,sarjana:toga,listrik,elastis,Turin,Bakat Verbal
umpatan,penyimpangan,asli,raksasa,cacat,kaki:sepatu,sarjana:toga,pancawarsa,elastis,London,Bakat Verbal
umpatan,pengikisan,petir,raksasa,tepat,kaki:sepatu,juara:medali,listrik,elastis,Turin,Bakat Verbal
potongankain,penggerusan,amatiran,cebol,tepat,kaki:sepatu,sarjana:toga,listrik,elastis,Turin,Bukan Bakat Verbal
umpatan,penyimpangan,palsu,cebol,benar,tangan:tilang,sarjana:toga,listrik,luwes,Turin,Bukan Bakat Verbal
umpatan,pengikisan,amatiran,mungil,cacat,kaki:sepatu,juara:medali,listrik,elastis,Turin,Bukan Bakat Verbal
potongankain,penyimpangan,amatiran,raksasa,cacat,kaki:sepatu,sarjana:toga,listrik,elastis,Liverpool,Bakat Verbal
umpatan,penggerusan,asli,raksasa,cacat,kaki:sepatu,nelayan:sampan,pancawarsa,elastis,Turin,Bakat Verbal
umpatan,penyimpangan,palsu,cebol,benar,kaki:sepatu,sarjana:toga,pancawarsa,elastis,Turin,Bakat Verbal
umpatan,pemisahan,palsu,kerdil,modern,anting:giwang,juara:medali,segilima,elastis,Turin,Bukan Bakat Verbal
umpatan,penyimpangan,asli,raksasa,cacat,kaki:sepatu,sarjana:toga,pancawarsa,elastis,turin,Bakat Verbal
umpatan,penggerusan,asli,raksasa,modern,anting:giwang,sarjana:toga,pancawarsa,kental,London,Bakat Verbal
potongankain,pemisahan,palsu,raksasa,cacat,tangan:tilang,nelayan:sampan,pancawarsa,padat,Birmingham,Bukan Bakat Verbal
umpatan,penyimpangan,palsu,raksasa,modern,pintu:rumah,pegawai:dasi,pancawarsa,kental,Liverpool,Bukan Bakat Verbal
potongankain,penyimpangan,palsu,cebol,benar,anting:giwang,juara:medali,pancawarsa,elastis,Birmingham,Bukan Bakat Verbal
potongankain,penyimpangan,petir,kerdil,cacat,anting:giwang,sarjana:toga,pancawarsa,elastis,London,Bakat Verbal
umpatan,penyimpangan,palsu,raksasa,cacat,kaki:sepatu,juara:medali,segilima,elastis,Birmingham,Bakat Verbal
sulaman,pemisahan,amatiran,cebol,cacat,tangan:tilang,juara:medali,segilima,kental,Liverpool,Bukan Bakat Verbal
potongankain,penggerusan,asli,mungil,cacat,kaki:sepatu,pegawai:dasi,pancawarsa,padat,Birmingham,Bukan Bakat Verbal
terjatuh,pemisahan,petir,cebol,cacat,kaki:sepatu,sarjana:toga,listrik,kental,Birmingham,Bukan Bakat Verbal
umpatan,pemisahan,asli,mungil,cacat,kaki:sepatu,sarjana:toga,pancawarsa,kental,Birmingham,Bakat Verbal
umpatan,penyimpangan,petir,mungil,tepat,kaki:sepatu,sarjana:toga,pancawarsa,padat,Turin,Bakat Verbal
potongankain,penyimpangan,palsu,mungil,tepat,kaki:sepatu,sarjana:toga,listrik,kental,Turin,Bukan Bakat Verbal
potongankain,pengikisan,asli,raksasa,benar,tangan:tilang,sarjana:toga,pancawarsa,luwes,Turin,Bakat Verbal
sulaman,pengikisan,amatiran,raksasa,tepat,pintu:rumah,sarjana:toga,listrik,luwes,Turin,Bukan Bakat Verbal
umpatan,pemisahan,palsu,raksasa,modern,anting:giwang,juara:medali,segilima,luwes,Turin,Bukan Bakat Verbal
potongankain,penggerusan,palsu,raksasa,cacat,kaki:sepatu,juara:medali,pancawarsa,luwes,Turin,Bakat Verbal
sulaman,pemisahan,amatiran,raksasa,cacat,pintu:rumah,pegawai:dasi,listrik,luwes,Turin,Bukan Bakat Verbal
terjatuh,penggerusan,asli,raksasa,cacat,anting:giwang,juara:medali,pancawarsa,luwes,Turin,Bukan Bakat Verbal
potongankain,penyimpangan,petir,raksasa,cacat,tangan:tilang,nelayan:sampan,listrik,kental,Turin,Bukan Bakat Verbal
umpatan,penyimpangan,asli,raksasa,cacat,kaki:sepatu,sarjana:toga,segilima,elastis,Turin,Bakat Verbal
potongankain,penyimpangan,asli,mungil,cacat,pintu:rumah,juara:medali,dasawarsa,elastis,Turin,Bakat Verbal
umpatan,pemisahan,asli,kerdil,cacat,anting:giwang,pegawai:dasi,pancawarsa,elastis,Turin,Bakat Verbal
potongankain,penyimpangan,asli,cebol,cacat,kaki:sepatu,sarjana:toga,dasawarsa,elastis,Turin,Bakat Verbal
umpatan,pengikisan,palsu,raksasa,cacat,anting:giwang,nelayan:sampan,pancawarsa,luwes,Turin,Bakat Verbal
potongankain,pemisahan,palsu,kerdil,tepat,tangan:tilang,sarjana:toga,dasawarsa,kental,London,Bukan Bakat Verbal
sulaman,penggerusan,asli,kerdil,tepat,kaki:sepatu,pegawai:dasi,pancawarsa,kental,Birmingham,Bukan Bakat Verbal
potongankain,penyimpangan,asli,raksasa,benar,tangan:tilang,nelayan:sampan,segilima,elastis,Liverpool,Bukan Bakat Verbal
umpatan,pengikisan,asli,cebol,tepat,pintu:rumah,sarjana:toga,dasawarsa,elastis,Birmingham,Bukan Bakat Verbal
potongankain,penyimpangan,asli,mungil,modern,kaki:sepatu,sarjana:toga,pancawarsa,elastis,Turin,Bakat Verbal
umpatan,penggerusan,asli,kerdil,tepat,pintu:rumah,nelayan:sampan,pancawarsa,elastis,Turin,Bakat Verbal
potongankain,pemisahan,asli,mungil,tepat,kaki:sepatu,nelayan:sampan,dasawarsa,elastis,Liverpool,Bukan Bakat Verbal
umpatan,penggerusan,asli,raksasa,cacat,anting:giwang,sarjana:toga,pancawarsa,elastis,Liverpool,Bakat Verbal
sulaman,penyimpangan,petir,raksasa,benar,tangan:tilang,pegawai:dasi,dasawarsa,padat,Liverpool,Bukan Bakat Verbal
umpatan,pengikisan,amatiran,raksasa,tepat,kaki:sepatu,sarjana:toga,dasawarsa,kental,Birmingham,Bukan Bakat Verbal
umpatan,penyimpangan,palsu,raksasa,cacat,tangan:tilang,nelayan:sampan,pancawarsa,kental,Turin,Bakat Verbal
umpatan,penggerusan,amatiran,raksasa,modern,pintu:rumah,sarjana:toga,pancawarsa,padat,London,Bukan Bakat Verbal
sulaman,pemisahan,amatiran,raksasa,cacat,kaki:sepatu,juara:medali,pancawarsa,kental,Turin,Bakat Verbal
potongankain,penggerusan,palsu,cebol,tepat,pintu:rumah,juara:medali,pancawarsa,elastis,Turin,Bukan Bakat Verbal
umpatan,penggerusan,asli,mungil,cacat,kaki:sepatu,sarjana:toga,pancawarsa,elastis,London,Bakat Verbal
sulaman,pemisahan,palsu,kerdil,tepat,tangan:tilang,juara:medali,pancawarsa,padat,Birmingham,Bukan Bakat Verbal
potongankain,penyimpangan,asli,mungil,cacat,kaki:sepatu,sarjana:toga,listrik,kental,Liverpool,Bakat Verbal
umpatan,pemisahan,petir,mungil,tepat,pintu:rumah,sarjana:toga,pancawarsa,elastis,Birmingham,Bukan Bakat Verbal
potongankain,penyimpangan,amatiran,raksasa,modern,pintu:rumah,sarjana:toga,listrik,luwes,Birmingham,Bukan Bakat Verbal
umpatan,pemisahan,palsu,raksasa,tepat,tangan:tilang,sarjana:toga,pancawarsa,elastis,Turin,Bakat Verbal
terjatuh,pemisahan,asli,mungil,benar,pintu:rumah,juara:medali,listrik,kental,Turin,Bukan Bakat Verbal
potongankain,penyimpangan,palsu,raksasa,modern,kaki:sepatu,juara:medali,segilima,padat,Turin,Bukan Bakat Verbal
sulaman,pemisahan,asli,kerdil,modern,kaki:sepatu,pegawai:dasi,pancawarsa,kental,Turin,Bukan Bakat Verbal
potongankain,penyimpangan,amatiran,cebol,cacat,anting:giwang,nelayan:sampan,pancawarsa,elastis,Turin,Bakat Verbal
umpatan,penyimpangan,palsu,raksasa,benar,kaki:sepatu,nelayan:sampan,pancawarsa,elastis,Turin,Bakat Verbal
umpatan,penyimpangan,asli,raksasa,modern,kaki:sepatu,sarjana:toga,listrik,elastis,London,Bakat Verbal
